,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Probability,Representative_document
2894,All in the oven.,3,3_food_production_meat_fur,"['food', 'production', 'meat', 'fur', 'be', 'farming', 'should', 'animals', 'of', 'the']","[""Agriculture must be supported because own food production is a key part of Finland's security of supply."", 'The share of subsidies for food production, i.e. the real price of food, should be made visible to consumers', 'The state should transfer subsidies from animal-based food production to plant-based food production, taking security of supply into account']",food - production - meat - fur - be - farming - should - animals - of - the,0.5328689977758481,False
2895,The government favors the rich.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2896,"Yle should be politically uncommitted in practice, not just in name. The journalists' party position should be distributed across the entire party field",2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.28744745797595184,False
2897,If it were possible to get by with a high degree of education without being taxed like a skunk. This country would be ok.,4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,0.6090524215622057,False
2898,I can't read long texts.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2899,"Community spirit, caring for others, taking responsibility (e.g. those who earn more can give up their benefits, such as child allowance).",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2900,"When children are taken into custody, the child's opinion is not taken into account enough",8,8_child_children_parents_hobbies,"['child', 'children', 'parents', 'hobbies', 'families', 'allowance', 'young', 'childrens', 'exercise', 'to']","['Child allowance should be waived and the money directed to services for families with children', 'Child allowance is for the children of good earners. Child allowance for the low-income is income and not an equal support for children. Scam..', 'Child benefits should not increase the more children there are, but the same child benefit for each child.']",child - children - parents - hobbies - families - allowance - young - childrens - exercise - to,1.0,False
2901,Politicians should have some responsibility for their decisions/voting choices both during and after the term.,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,0.8178488470222296,False
2902,New perspectives and drives,17,17_perspectives_independent_new_experiences,"['perspectives', 'independent', 'new', 'experiences', 'thought', 'out', 'brings', 'opinion', 'bring', 'thinking']","['Bring out new perspectives or experiences', 'Bring out new perspectives and experiences', 'An independent thought that brings out new perspectives']",perspectives - independent - new - experiences - thought - out - brings - opinion - bring - thinking,1.0,False
2903,"Entrepreneurship is taxed on life and entrepreneurs have to do an unreasonable amount of work, without vacation.",5,5_work_salary_basic_week,"['work', 'salary', 'basic', 'week', 'unemployment', 'the', 'to', 'sick', 'income', 'support']","['The salary should always be so high that you can live reasonably without subsidies during a full working week - even with the lowest salary.', 'Everyone who is healthy and able to work should work or study. Ideologically, social benefits should be cut from the unemployed.', 'A 4-day work week increases work motivation and reduces sick leave. More employment.']",work - salary - basic - week - unemployment - the - to - sick - income - support,0.5635398044655061,False
2904,"Now Finland may be on the right track, the current government seems to be biting into problems and grievances, otherwise the country would really be in trouble, even",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2905,Electric car drivers now pay too little tax for driving on public roads.,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.9366622438195693,False
2906,"Aviation pays too little tax on its fuel, both nationally and internationally.",0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,1.0,False
2907,"The victim should not have to change schools, that would be wrong.",4,4_school_students_education_schools,"['school', 'students', 'education', 'schools', 'be', 'student', 'support', 'bullying', 'should', 'the']","['Primary school class sizes should be reduced so that young people have enough adult support and presence at school.', ""A bully's school change only recycles the problem to another school. Instead, learning support services and special education must be increased."", 'School bullying should be increased in schools.']",school - students - education - schools - be - student - support - bullying - should - the,0.20458870629336773,False
2908,Electric cars that use the least amount of energy ( kWh / 100 km ) must be favored by taxation in every way.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2909,You don't live in a democracy with a roll call vote.,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
2910,Finland should be owned by Finns,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2911,They are here illegally and need to leave the country.,7,7_racism_immigration_immigrants_country,"['racism', 'immigration', 'immigrants', 'country', 'asylum', 'be', 'should', 'racist', 'with', 'is']","['When discussing immigration, work-based immigration and humanitarian immigration should be more clearly distinguished from each other.', 'Racism must be addressed.', 'When a government accepts racism as an instrument of its policy, it is as racist as a party whose goal is racism.']",racism - immigration - immigrants - country - asylum - be - should - racist - with - is,1.0,False
2912,More competition is needed in the hosting industry in Finland.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2913,Of course they have to because they have already done their life's work.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2914,"You have to analyze all unnecessary expenses, e.g. in administration, and eliminate them.",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2915,Only by voting can you make an impact,2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
2916,"Yes, they must be reduced, but at the same time alternative functions must be developed.",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2917,Driving taxes for cars must be developed more and more to take driving kilometers into account,0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.932140896677339,False
2918,Yleisradio's service even needs to be improved for people living without their own computer.,16,16_elderly_age_services_people,"['elderly', 'age', 'services', 'people', 'of', 'digital', 'the', 'life', 'care', 'for']","['Competitive home care for the elderly is a money trap for companies whose only goal is to make a profit without caring about the well-being of the elderly', 'The digitization of public services has made life difficult for many elderly people.', 'The elderly must be taken better care of.']",elderly - age - services - people - of - digital - the - life - care - for,0.3735533617575498,False
2919,"The people must have the opportunity defined by law, with a sufficient majority, to demand new parliamentary or presidential elections whenever they want.",2,2_media_the_of_democracy,"['media', 'the', 'of', 'democracy', 'to', 'and', 'is', 'should', 'in', 'not']","['I feel that it is difficult to discuss things in a relevant way on social media without fear of intentional misunderstanding', 'In elections, you should vote for things, not people.', ""Does the media have too much power to control people's opinions""]",media - the - of - democracy - to - and - is - should - in - not,1.0,False
2920,"Heavy electric cars strain road structures even more than combustion engine cars, but pay less tax to the state for road maintenance.",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2921,"In Finland, cars are scrapped too easily and spare parts wastefully.",1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,1.0,False
2922,"For the sake of an independent Finland, we must be ready to give in to our own selfish demands",1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.9690858013031778,False
2923,"For the past 10-15 years, Finland has lagged behind the economic growth of other Nordic countries.  Living in debt cannot sustainably buy a standard of living.",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2924,High pensions must be gradually reduced if the person has been retired for a long time.,12,12_pension_pensions_security_pensioners,"['pension', 'pensions', 'security', 'pensioners', 'social', 'system', 'be', 'the', 'of', 'to']","['Everyone should earn their own pension and be able to influence where it is invested. The pension system should be renewed', ""The pension system belongs to the world of the 1960s. It's not today. Pension ceiling to be set at €2,000 and discretion. Pension payments down!"", 'Pensioners should be cut more and pension payments should be reduced for those who are working.']",pension - pensions - security - pensioners - social - system - be - the - of - to,0.6055808931733678,False
2925,Work is too taxing in many fields these days.,5,5_work_salary_basic_week,"['work', 'salary', 'basic', 'week', 'unemployment', 'the', 'to', 'sick', 'income', 'support']","['The salary should always be so high that you can live reasonably without subsidies during a full working week - even with the lowest salary.', 'Everyone who is healthy and able to work should work or study. Ideologically, social benefits should be cut from the unemployed.', 'A 4-day work week increases work motivation and reduces sick leave. More employment.']",work - salary - basic - week - unemployment - the - to - sick - income - support,0.8864827467292233,False
2926,Mental health problems are still taboo in society.,10,10_health_care_doctors_nurses,"['health', 'care', 'doctors', 'nurses', 'mental', 'services', 'public', 'medical', 'be', 'in']","['Occupational health care should be nationalized and taxes set at a level that supports the public health care system', 'Health care should be privatized and instead of public health care, a national insurance system should be built', 'Occupational health care must be abolished and all citizens must be transferred to the same health care system.']",health - care - doctors - nurses - mental - services - public - medical - be - in,0.8893957792280595,False
2927,The working ability of working-age people needs to be supported more strongly and the responsibility cannot be left only to the individual.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2928,"Even now, our judicial system is very burdened with all kinds of ""defamation cases"", We should not create legislation that increases these.",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2929,Culture is supported too much with tax funds.,21,21_culture_luxury_cultural_cultures,"['culture', 'luxury', 'cultural', 'cultures', 'countries', 'our', 'supported', 'funds', 'is', 'part']","['Culture.. luxury or not, you should manage on your own', 'Culture is not a luxury service', 'Culture is a luxury and does not deserve state support']",culture - luxury - cultural - cultures - countries - our - supported - funds - is - part,0.9051448468700254,False
2930,"There must definitely be use rooms, because this way the use of drugs can be removed from public areas and park benches.",13,13_drug_use_cannabis_drugs,"['drug', 'use', 'cannabis', 'drugs', 'rooms', 'legalized', 'users', 'should', 'be', 'treatment']","['The criminalization of drug use should be removed', 'I support drug use rooms if they reduce drug deaths', 'I support drug use rooms, if they reduce the disorderly use of drug users in public places.']",drug - use - cannabis - drugs - rooms - legalized - users - should - be - treatment,0.3434729908483892,False
2931,Public healthcare should stop buying temporary work services. Let's put those funds into developing the attractiveness of jobs.,10,10_health_care_doctors_nurses,"['health', 'care', 'doctors', 'nurses', 'mental', 'services', 'public', 'medical', 'be', 'in']","['Occupational health care should be nationalized and taxes set at a level that supports the public health care system', 'Health care should be privatized and instead of public health care, a national insurance system should be built', 'Occupational health care must be abolished and all citizens must be transferred to the same health care system.']",health - care - doctors - nurses - mental - services - public - medical - be - in,0.692784084062426,False
2932,"The state should gift everyone who wants to have their own plot of land, where it would be possible to live a self-sufficient life.  Self-sufficiency saves nature",0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.9999577160164955,False
2933,We are building a better Finland,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2934,Environmental protection is the most important societal issue for the future of humanity,6,6_climate_nature_change_must,"['climate', 'nature', 'change', 'must', 'the', 'peat', 'forests', 'of', 'be', 'loss']","['I fear climate change', 'Society and the economy must be developed to be more equal so that the boundaries of nature are truly respected, i.e. nature and the climate first', 'The climate crisis and loss of nature are the most significant of all the political problems of the moment.']",climate - nature - change - must - the - peat - forests - of - be - loss,0.32604823273940237,False
2935,Animal protection matters should be improved and the punishments for treating animals badly should be much tougher.,3,3_food_production_meat_fur,"['food', 'production', 'meat', 'fur', 'be', 'farming', 'should', 'animals', 'of', 'the']","[""Agriculture must be supported because own food production is a key part of Finland's security of supply."", 'The share of subsidies for food production, i.e. the real price of food, should be made visible to consumers', 'The state should transfer subsidies from animal-based food production to plant-based food production, taking security of supply into account']",food - production - meat - fur - be - farming - should - animals - of - the,1.0,False
2936,"the public sector wastes, it should be cut and a lot",0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.7440865442977789,False
2937,Finland must be an ethical pioneer in creating an ecological reconstruction culture.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2938,The matter is brought clearly and well-founded,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2939,The withdrawal protection portion should be increased from the current €920->€1500/month.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2940,Sote does more harm than good.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2941,Finns first,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.7039859134121818,False
2942,Basic artificial intelligence skills for anyone who wants to with a free and high-quality online course.,28,28_intelligence_artificial_robotization_robot,"['intelligence', 'artificial', 'robotization', 'robot', 'diminish', 'noticeable', 'hunger', 'robots', 'ease', 'robotics']","['Finland should limit the use of artificial intelligence in certain areas of society.', 'The use of artificial intelligence should be regulated by legislation.', 'Artificial intelligence helps people.']",intelligence - artificial - robotization - robot - diminish - noticeable - hunger - robots - ease - robotics,1.0,False
2943,All borders closed immediately.,7,7_racism_immigration_immigrants_country,"['racism', 'immigration', 'immigrants', 'country', 'asylum', 'be', 'should', 'racist', 'with', 'is']","['When discussing immigration, work-based immigration and humanitarian immigration should be more clearly distinguished from each other.', 'Racism must be addressed.', 'When a government accepts racism as an instrument of its policy, it is as racist as a party whose goal is racism.']",racism - immigration - immigrants - country - asylum - be - should - racist - with - is,0.37243809764952995,False
2944,"Sote has been forcibly born for ideological purposes and will not succeed as it is, pointless administrative gimmick.",-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2945,Finland cannot save the world with the indifference of other countries.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2946,How many million euros have you swallowed before this survey? A survey that already speaks to the whole nation. What is Sitra needed for?,24,24_sitra_survey_sheltered_useless,"['sitra', 'survey', 'sheltered', 'useless', 'is', 'completely', 'abolished', 'used', 'stopped', 'usefully']","['SITRA is a sheltered workplace for ex-politicians.', 'Sitra is a completely useless institution.', 'Sitra and public funding of organizations like Sitra should be stopped!']",sitra - survey - sheltered - useless - is - completely - abolished - used - stopped - usefully,1.0,False
2947,Sitra - a gaming company operating with tax funds. Even this survey could have been produced by a private person for less!!,24,24_sitra_survey_sheltered_useless,"['sitra', 'survey', 'sheltered', 'useless', 'is', 'completely', 'abolished', 'used', 'stopped', 'usefully']","['SITRA is a sheltered workplace for ex-politicians.', 'Sitra is a completely useless institution.', 'Sitra and public funding of organizations like Sitra should be stopped!']",sitra - survey - sheltered - useless - is - completely - abolished - used - stopped - usefully,1.0,False
2948,Finland's high taxes are due to useless development aid money that has been paid for 75 years OVER 100 BILLION EUROS IN AFRICA FROM THE FINNISH TAXES,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2949,"In Helsinki, there are GENTLEMEN'S AND OFFICIALS' SHARE ROOMS IN A-FLOOR AND B-FLOOR ROOMS FOR TENANTS IN THE SAME BUILDING? Housing benefits for over 100 years?",0,0_taxation_the_be_tax,"['taxation', 'the', 'be', 'tax', 'income', 'of', 'to', 'should', 'and', 'must']","['Taxation must be reformed from income taxation to more consumption taxation', 'Taxation of capital should be increased and taxation of earned income should be lightened.', ""With the automation of production, the focus of taxation must be shifted from the taxation of employees' earned income to the taxation of companies and capital""]",taxation - the - be - tax - income - of - to - should - and - must,0.7903930520979978,False
2950,The meaning and purpose of life is discussed too little,11,11_society_wellbeing_life_people,"['society', 'wellbeing', 'life', 'people', 'is', 'future', 'good', 'of', 'the', 'better']","['It is more important to take care of the weakest in society than to take care of the interests of the highest earners', 'In today\'s society, where one machine does the work of a thousand people, it is crazy to think that everyone is obliged to ""support themselves"".', 'Society should work so that as many people as possible are good. And not on the weakest terms.']",society - wellbeing - life - people - is - future - good - of - the - better,1.0,False
2951,Today's youth should be disciplined!,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2952,"Finland should not mainly be a good ""schoolboy"" in NATO, but rather strongly raise its own views, goals and needs for discussion.",1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.926079574622007,False
2953,Finland speaks Finnish in Finland,1,1_finland_finns_in_the,"['finland', 'finns', 'in', 'the', 'to', 'finnish', 'language', 'of', 'is', 'and']","['Finland speaks Finnish in Finland', 'The taxation of mining companies in Finland must be raised to the level of other European countries.', 'The position of the Swedish language in Finland should be the same as the position of the Finnish language in Sweden.']",finland - finns - in - the - to - finnish - language - of - is - and,0.2648542591969305,True
2954,Energy and fuels are twice as expensive in Finland than the income level allows.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2955,Negativity prevents Finland from growing economically,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2956,Wolf outside the reindeer husbandry area in appendix four.,-1,-1_the_of_in_finland,"['the', 'of', 'in', 'finland', 'to', 'and', 'be', 'is', 'should', 'for']","['It is difficult for a person to get a job if he has challenges in different areas of life management at the same time, even if there is a desire to work.', ""We have to think more about Finland's interest and get the state economy in order."", 'The young people of Finland must be helped to become part of society! They should receive more support for education and the transition to working life.']",the - of - in - finland - to - and - be - is - should - for,0.0,False
2957,Home care is a forced ism and causes insecurity and costs,16,16_elderly_age_services_people,"['elderly', 'age', 'services', 'people', 'of', 'digital', 'the', 'life', 'care', 'for']","['Competitive home care for the elderly is a money trap for companies whose only goal is to make a profit without caring about the well-being of the elderly', 'The digitization of public services has made life difficult for many elderly people.', 'The elderly must be taken better care of.']",elderly - age - services - people - of - digital - the - life - care - for,0.8667223401257974,False
